year_month,year,month_number,total_print_run,n_leaflets,mean_print_run,median_print_run,min_print_run,max_print_run,std_print_run,Q1,Q3,IQR,n_outliers,outliers,change_from_prev_month,pct_change_from_prev_month,cumulative_year,cumulative_total
1934-01,1934,1,30500,9,3388.9,3000.0,1000,10000,2786.7,1000,5000,4000,0,[],0,0,30500,30500
1934-02,1934,2,19000,7,2714.3,3000.0,1000,6000,1749.6,1000,3500,2500,0,[],-11500,-37.7,49500,49500
1934-03,1934,3,16500,7,2357.1,1000.0,1000,5000,1619.4,1000,3750,2750,0,[],-2500,-13.2,66000,66000
1934-04,1934,4,34400,10,3440.0,1750.0,100,10000,3664.2,625,5250,4625,0,[],17900,108.5,100400,100400
1934-05,1934,5,15500,7,2214.3,1000.0,500,5000,1644.4,1000,3500,2500,0,[],-18900,-54.9,115900,115900
1934-06,1934,6,2000,2,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-13500,-87.1,117900,117900
1934-07,1934,7,31000,15,2066.7,1000.0,1000,5000,1388.8,1000,3000,2000,0,[],29000,1450.0,148900,148900
1934-08,1934,8,13050,8,1631.2,1000.0,50,4000,1210.1,1000,2250,1250,0,[],-17950,-57.9,161950,161950
1934-09,1934,9,15200,7,2171.4,1000.0,100,10000,3220.8,800,1250,450,2,"[10000, 100]",2150,16.5,177150,177150
1934-10,1934,10,18300,9,2033.3,1000.0,300,6000,1954.5,500,2000,1500,2,"[6000, 5000]",3100,20.4,195450,195450
1934-11,1934,11,33000,8,4125.0,3000.0,1000,10000,2666.3,2750,5250,2500,1,[10000],14700,80.3,228450,228450
1934-12,1934,12,14200,6,2366.7,1250.0,100,10000,3462.0,325,1500,1175,1,[10000],-18800,-57.0,242650,242650
1935-01,1935,1,22350,10,2235.0,2000.0,100,5000,1616.2,1250,2750,1500,0,[],8150,57.4,22350,265000
1935-02,1935,2,42350,15,2823.3,1000.0,50,10000,2689.8,1000,4000,3000,1,[10000],20000,89.5,64700,307350
1935-03,1935,3,32000,10,3200.0,3000.0,1000,5000,1400.0,2000,4750,2750,0,[],-10350,-24.4,96700,339350
1935-04,1935,4,30600,9,3400.0,1000.0,100,15000,4470.9,500,4000,3500,1,[15000],-1400,-4.4,127300,369950
1935-05,1935,5,25000,7,3571.4,4000.0,1000,6000,1590.8,2500,4500,2000,0,[],-5600,-18.3,152300,394950
1935-06,1935,6,5000,2,2500.0,2500.0,2000,3000,500.0,2250,2750,500,0,[],-20000,-80.0,157300,399950
1935-07,1935,7,27800,9,3088.9,3000.0,800,6000,2048.5,1000,5000,4000,0,[],22800,456.0,185100,427750
1935-08,1935,8,2500,2,1250.0,1250.0,1000,1500,250.0,1125,1375,250,0,[],-25300,-91.0,187600,430250
1935-09,1935,9,16000,3,5333.3,5000.0,3000,8000,2054.8,4000,6500,2500,0,[],13500,540.0,203600,446250
1935-10,1935,10,34500,5,6900.0,10000.0,1000,10000,3878.1,3500,10000,6500,0,[],18500,115.6,238100,480750
1935-11,1935,11,13000,3,4333.3,5000.0,2000,6000,1699.7,3500,5500,2000,0,[],-21500,-62.3,251100,493750
1935-12,1935,12,4000,1,4000.0,4000.0,4000,4000,0.0,4000,4000,0,0,[],-9000,-69.2,255100,497750
1936-02,1936,2,9000,3,3000.0,3000.0,2000,4000,816.5,2500,3500,1000,0,[],5000,125.0,9000,506750
1936-03,1936,3,5000,3,1666.7,1000.0,1000,3000,942.8,1000,2000,1000,0,[],-4000,-44.4,14000,511750
1936-04,1936,4,39000,6,6500.0,7500.0,1000,10000,3685.6,3500,10000,6500,0,[],34000,680.0,53000,550750
1936-05,1936,5,22000,4,5500.0,5500.0,1000,10000,3640.1,2500,8500,6000,0,[],-17000,-43.6,75000,572750
1936-06,1936,6,9000,2,4500.0,4500.0,3000,6000,1500.0,3750,5250,1500,0,[],-13000,-59.1,84000,581750
1936-07,1936,7,24000,4,6000.0,5500.0,3000,10000,2549.5,4500,7000,2500,0,[],15000,166.7,108000,605750
1936-08,1936,8,2000,1,2000.0,2000.0,2000,2000,0.0,2000,2000,0,0,[],-22000,-91.7,110000,607750
1936-09,1936,9,13000,3,4333.3,5000.0,3000,5000,942.8,4000,5000,1000,0,[],11000,550.0,123000,620750
1936-10,1936,10,19000,3,6333.3,5000.0,4000,10000,2624.7,4500,7500,3000,0,[],6000,46.2,142000,639750
1936-11,1936,11,10200,2,5100.0,5100.0,200,10000,4900.0,2650,7550,4900,0,[],-8800,-46.3,152200,649950
1937-01,1937,1,1000,1,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-9200,-90.2,1000,650950
1937-04,1937,4,30000,3,10000.0,10000.0,10000,10000,0.0,10000,10000,0,0,[],29000,2900.0,31000,680950
1937-06,1937,6,11000,4,2750.0,3000.0,1000,4000,1299.0,1750,4000,2250,0,[],-19000,-63.3,42000,691950
1937-07,1937,7,15000,4,3750.0,4000.0,2000,5000,1089.7,3500,4250,750,1,[2000],4000,36.4,57000,706950
1937-08,1937,8,15000,1,15000.0,15000.0,15000,15000,0.0,15000,15000,0,0,[],0,0.0,72000,721950
1937-09,1937,9,200,1,200.0,200.0,200,200,0.0,200,200,0,0,[],-14800,-98.7,72200,722150
1937-10,1937,10,8000,4,2000.0,1000.0,1000,5000,1732.1,1000,2000,1000,1,[5000],7800,3900.0,80200,730150
1937-11,1937,11,10000,2,5000.0,5000.0,5000,5000,0.0,5000,5000,0,0,[],2000,25.0,90200,740150
1938-01,1938,1,11000,2,5500.0,5500.0,1000,10000,4500.0,3250,7750,4500,0,[],1000,10.0,11000,751150
1938-02,1938,2,5500,2,2750.0,2750.0,500,5000,2250.0,1625,3875,2250,0,[],-5500,-50.0,16500,756650
1938-03,1938,3,10000,1,10000.0,10000.0,10000,10000,0.0,10000,10000,0,0,[],4500,81.8,26500,766650
1938-04,1938,4,21000,3,7000.0,10000.0,1000,10000,4242.6,5500,10000,4500,0,[],11000,110.0,47500,787650
1938-05,1938,5,1000,1,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-20000,-95.2,48500,788650
1938-06,1938,6,10000,1,10000.0,10000.0,10000,10000,0.0,10000,10000,0,0,[],9000,900.0,58500,798650
1938-08,1938,8,5000,1,5000.0,5000.0,5000,5000,0.0,5000,5000,0,0,[],-5000,-50.0,63500,803650
1938-09,1938,9,7000,2,3500.0,3500.0,2000,5000,1500.0,2750,4250,1500,0,[],2000,40.0,70500,810650
1938-10,1938,10,10000,1,10000.0,10000.0,10000,10000,0.0,10000,10000,0,0,[],3000,42.9,80500,820650
1938-11,1938,11,500,1,500.0,500.0,500,500,0.0,500,500,0,0,[],-9500,-95.0,81000,821150
1939-01,1939,1,11000,2,5500.0,5500.0,1000,10000,4500.0,3250,7750,4500,0,[],10500,2100.0,11000,832150
1939-03,1939,3,8000,3,2666.7,2000.0,1000,5000,1699.7,1500,3500,2000,0,[],-3000,-27.3,19000,840150
1939-04,1939,4,12000,2,6000.0,6000.0,6000,6000,0.0,6000,6000,0,0,[],4000,50.0,31000,852150
1939-05,1939,5,7500,3,2500.0,1500.0,1000,5000,1779.5,1250,3250,2000,0,[],-4500,-37.5,38500,859650
1939-09,1939,9,7000,3,2333.3,1000.0,1000,5000,1885.6,1000,3000,2000,0,[],-500,-6.7,45500,866650
1939-10,1939,10,6000,2,3000.0,3000.0,1000,5000,2000.0,2000,4000,2000,0,[],-1000,-14.3,51500,872650
1939-11,1939,11,9500,6,1583.3,1000.0,200,6000,2003.7,475,1000,525,1,[6000],3500,58.3,61000,882150
1939-12,1939,12,10000,1,10000.0,10000.0,10000,10000,0.0,10000,10000,0,0,[],500,5.3,71000,892150
1940-01,1940,1,1000,1,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-9000,-90.0,1000,893150
1940-04,1940,4,4000,2,2000.0,2000.0,1000,3000,1000.0,1500,2500,1000,0,[],3000,300.0,5000,897150
1940-05,1940,5,3000,3,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-1000,-25.0,8000,900150
1940-06,1940,6,1000,1,1000.0,1000.0,1000,1000,0.0,1000,1000,0,0,[],-2000,-66.7,9000,901150
